,Date Produced,Title,Claims
310,2022-09-21,Appliance,"['We claim the ornamental design for an appliance, as shown and described.']"
311,2022-09-21,Bag sealer with USB port,"['The ornamental design for a bag sealer with USB port, as shown and described.']"
312,2022-09-20,Vacuum packaging machine,"['The ornamental design for a vacuum packaging machine, as shown and described.']"
313,2022-09-20,Hydraulic turbo actuator,"['The ornamental design for hydraulic turbo actuator, as shown and described.']"
314,2022-09-20,Transmission intermediate plate,"['The ornamental design for a transmission intermediate plate, as shown and described.']"
315,2022-09-20,Catch can housing for automotive applications,"['The ornamental design for a catch can housing for automotive applications, as shown and described.']"
316,2022-09-20,Robot for delivery,"['The ornamental design for a robot for delivery, as shown and described.']"
317,2022-09-20,Housing,"['The ornamental design for a housing, as shown and described.']"
318,2022-09-20,Dish-return delivery robot,"['The ornamental design for a dish-return delivery robot, as shown and described.']"
319,2022-09-20,Robot head,"['The ornamental design for a robot head, as shown and described.']"
320,2022-09-20,Robot mascot,"['The ornamental design for a robot mascot, as shown and described.']"
321,2022-09-20,Transport robot,"['The ornamental design for a transport robot, as shown and described.']"
322,2022-09-20,Situational awareness robot,"['The ornamental design for a situational awareness robot, as shown and described.']"
323,2022-09-20,Shower robot,"['The ornamental design for a shower robot, as shown and described.']"
324,2022-09-21,Security guide robot,"['The ornamental design for a security guide robot, as shown and described.']"
325,2022-09-21,Robot,"['The ornamental design for a robot, a shown and described.']"
326,2022-09-21,Microscope camera,"['The ornamental design for a microscope camera, as shown and described.']"
327,2022-09-21,Night vision goggles,"['The ornamental design for a night vision goggles, as shown and described.']"
328,2022-09-21,Combined phone screen magnifier and speaker,"['The ornamental design for a combined phone screen magnifier and speaker, as shown and described.']"
329,2022-09-21,Digital camera,"['The ornamental design for a digital camera, as shown and described.']"
330,2022-09-21,Dash cam,"['The ornamental design for a dash cam, as shown and described.']"
331,2022-09-21,Video camera,"['The ornamental design for a video camera, as shown and described.']"
332,2022-09-21,Dashboard camera,"['The ornamental design for a dashboard camera, substantially as shown and described.']"
333,2022-09-21,Camera device,"['The ornamental design for a camera device, as shown and described.']"
334,2022-09-21,Interchangeable lens for camera,"['The ornamental design for an interchangeable lens for camera, as shown and described.']"
335,2022-09-21,Projector device,"['The ornamental design for a projector device, as shown and described.']"
336,2022-09-21,Projector,"['The ornamental design for a projector, as shown and described.']"
337,2022-09-21,Sport camera component,"['The ornamental design for a sport camera component, as shown and described.']"
338,2022-09-20,Eyeglasses,"['I claim the ornamental design for eyeglasses, as shown and described.']"
339,2022-09-21,Cover for stringed instrument neck and strings,"['The ornamental design for a cover for stringed instrument neck and strings, as shown and described.']"
340,2022-09-21,Printer,"['The ornamental design for a printer, as shown and described.']"
341,2022-09-21,Behavioral assessment scorecard,"['The ornamental design for a behavioral assessment scorecard, as shown and described.']"
342,2022-09-21,Uterus simulator apparatus for medical training,"['The ornamental design for a uterus simulator apparatus for medical training, as shown and described.']"
343,2022-09-21,File organizer,"['The ornamental design for a file organizer, as shown and described.']"
344,2022-09-20,Desk organizer,"['The ornamental design for a desk organizer, as shown and described.']"
345,2022-09-20,Writing board with pen set,"['The ornamental design for a writing board with pen set, as shown and described.']"
346,2022-09-21,Pen,"['The ornamental design for a pen, as shown and described.']"
347,2022-09-20,Room cleaning sign,"['The ornamental design for a room cleaning sign, as shown and described.']"
348,2022-09-21,Sign holder,"['The ornamental design for a sign holder, as shown and described.']"
349,2022-09-21,Inflatable cornhole,"['The ornamental design for an inflatable cornhole, as shown and described.']"
350,2022-09-21,Cornhole board,"['The ornamental design for a cornhole board, as shown and described.']"
351,2022-09-21,Motion sensor unit for educational game console for kids,"['The ornamental design for a motion sensor unit for educational game console for kids, as shown and described.']"
352,2022-09-21,Sticker set,"['I claim an ornamental design for a sticker set, as shown and described.']"
353,2022-09-21,Game controller,"['The ornamental design for a game controller, as shown and described.']"
354,2022-09-21,Mushroom thumb grip cap,"['The ornamental design for a mushroom thumb grip cap, as shown and described.']"
355,2022-09-21,Set of display screens for a gaming machine bank,"['The ornamental design for a set of display screens for a gaming machine bank, as shown and described.']"
356,2022-09-21,Game board,"['The ornamental design for a game board, as shown and described.']"
357,2022-09-21,Die,"['I claim the ornamental design for a die, as shown and described.']"
358,2022-09-21,Handheld bubble machine,"['The ornamental design of a handheld bubble machine, as shown and described.']"
359,2022-09-20,Kick scooter,"['The ornamental design for a kick scooter, as shown and described.']"
360,2022-09-21,Orbital plane toy,"['The ornamental design for an orbital plane toy, as shown and described.']"
361,2022-09-21,Semi-truck riding toy,"['The ornamental design for a semi-truck riding toy, as shown and described.']"
362,2022-09-21,Toy aircraft,"['The ornamental design for a toy aircraft, as shown and described.']"
363,2022-09-20,Spinning disc and spindle toy,"['The ornamental design for a spinning disc and spindle toy, as shown and described.']"
364,2022-09-21,Element for a toy building set,"['The ornamental design for an element for a toy building set, as shown and described.']"
365,2022-09-21,Projectile launcher,"['The ornamental design for a projectile launcher, as shown and described.']"
366,2022-09-20,Toy gun set,"['The ornamental design for a toy gun set, as shown and described.']"
367,2022-09-20,Clockwork toy robot,"['The ornamental design for a clockwork toy robot, as shown and described.']"
368,2022-09-21,Plush toy,"['The ornamental design for a plush toy, as shown.']"
369,2022-09-21,Baby doll,"['The ornamental design for a baby doll, as shown and described.']"
370,2022-09-21,Treadmill,"['The ornamental design for a treadmill, as shown and described.']"
371,2022-09-21,Mini trampoline,"['The ornamental design for a mini trampoline, as shown and described.']"
372,2022-09-21,Biceps exercise device,"['The ornamental design for a biceps exercise device, as shown and described.']"
373,2022-09-20,Dumbbell with rack,"['The ornamental design for a dumbbell with rack, as shown and described.']"
374,2022-09-20,Pair of dumbbells with rack,"['The ornamental design for a pair of dumbbells with rack, as shown and described.']"
375,2022-09-21,Hand grip exerciser,"['The ornamental design of a hand grip exerciser, as shown and described.']"
376,2022-09-21,Sports training device,"['The ornamental design for an sports training device, as shown and described.']"
377,2022-09-21,Soccer tee,"['The ornamental design for a soccer tee, as shown and described.']"
378,2022-09-21,Hockey stick,"['The ornamental design for a hockey stick, as shown and described.']"
379,2022-09-21,Putter,"['The ornamental design for a putter, as shown and described.']"
380,2022-09-21,Golf putter,"['We claim the ornamental design for a golf putter, as shown and described.']"
381,2022-09-21,Trampoline,"['The ornamental design for a trampoline, as shown and described.']"
382,2022-09-21,Personal enclosure,"['The ornamental design for a personal enclosure, as shown and described.']"
383,2022-09-21,Insect control device,"['The ornamental design for an insect control device, as shown and described.']"
384,2022-09-21,Insect repellent evaporating device,"['The ornamental design for an insect repellent evaporating device, as shown and described.']"
385,2022-09-20,Decoy anchor,"['The ornamental design for a decoy anchor, as shown and described.']"
386,2022-09-21,Fishing lure,"['The ornamental design for a fishing lure, as shown and described.']"
387,2022-09-21,End plate for a filter element,"['The ornamental design for an end plate for a filter element, as shown and described.']"
388,2022-09-21,Filter cap,"['The ornamental design for a filter cap, as shown and described.']"
389,2022-09-21,Filtration system,"['The ornamental design for a filtration system, as shown and described.']"
390,2022-09-21,Filter cartridge,"['The ornamental design for a filter cartridge, as shown and described.']"
391,2022-09-21,Pet water fountain ring filter,"['The ornamental design for a pet water fountain ring filter, as shown and described.']"
392,2022-09-21,Shower kit,"['The ornamental design for a shower kit, as shown and described.']"
393,2022-09-21,Faucet,"['The ornamental design for a faucet, as shown and described.']"
394,2022-09-21,Flow control valve,"['The ornamental design for a flow control valve, as shown and described.']"
395,2022-09-21,Faucet handle,"['The ornamental design for a faucet handle, as shown and described.']"
396,2022-09-21,Valve,"['The ornamental design for a valve, as shown and described.']"
397,2022-09-20,Sink,"['The ornamental design for a sink, as shown and described.']"
398,2022-09-21,Personal air cooler,"['The ornamental design for a personal air cooler, as shown and described.']"
399,2022-09-20,Fire pit,"['The ornamental design for a fire pit, as shown and described.']"
400,2022-09-21,Air conditioner,"['The ornamental design for an air conditioner, as shown and described.']"
401,2022-09-21,Liquid dispenser,"['The ornamental design for a liquid dispenser, as shown and described.']"
402,2022-09-21,Air purifier,"['We claim the ornamental design for an air purifier, as shown and described.']"
403,2022-09-22,UV light,"['The ornamental design for an UV light, as shown and described.']"
404,2022-09-21,Air cleaner,"['The ornamental design for an air cleaner, as shown and described.']"
405,2022-09-21,Prefilter,"['The ornamental design for a prefilter, as shown and described.']"
406,2022-09-21,Air filtration stand,"['The ornamental design for an air filtration stand, as shown and described.']"
407,2022-09-21,Deodorizing machine,"['The ornamental design for a deodorizing machine, as shown and described.']"
408,2022-09-21,Fan,"['The ornamental design for a fan, as shown and described.']"
409,2022-09-21,Ceiling fan,"['The ornamental design for a ceiling fan, as shown and described.']"
410,2022-09-21,Neck fan,"['We claim the ornamental design for a neck fan, as shown and described.']"
411,2022-09-20,Thermal insulation side panel,"['I claim the ornamental design for a thermal insulation side panel, as shown and described.']"
412,2022-09-21,Ceiling fan motor housing,"['The ornamental design for a ceiling fan motor housing, as shown and described.']"
413,2022-09-21,Earplug set,"['The ornamental design for an earplug set, as shown and described.']"
414,2022-09-21,Powered air pump for respirator,"['The ornamental design for a powered air pump for respirator, as shown and described.']"
415,2022-09-21,Silicone support frame for air mask,"['The ornamental design for a silicone support frame for air mask, as shown and described.']"
416,2022-09-20,Facial contact pad for mask type air purifier,"['The ornamental design for a facial contact pad for mask type air purifier, as shown and described.']"
417,2022-09-21,Oral irrigator,"['We claim the ornamental design for an oral irrigator, as shown and described.']"
418,2022-09-21,Electric water flosser,"['The ornamental design for a electric water flosser, as shown and described.']"
419,2022-09-21,Electric toothbrush head,"['The ornamental design for an electric toothbrush head, as shown and described.']"
420,2022-09-21,Absorbent pad,"['The ornamental design of an absorbent pad, as shown and described.']"
421,2022-09-21,IV spike cover,"['The ornamental design for an IV spike cover, as shown and described.']"
422,2022-09-21,Mastectomy drainage pouch,"['The ornamental design for a mastectomy drainage pouch, as shown and described.']"
423,2022-09-21,Outer sheath,"['The ornamental design for an outer sheath, as shown and described.']"
424,2022-09-21,High density catheter tip,"['The ornamental design for a high density catheter tip, as shown and described.']"
425,2022-09-21,Otoscope protective cap,"['The ornamental design for an otoscope protective cap, as shown and described.']"
426,2022-09-20,Device housing,"['The ornamental design for a device housing, as shown and described.']"
427,2022-09-21,Tibial cutting template connector,"['The ornamental design for a tibial cutting template connector, as shown and described.']"
428,2022-09-21,Vaginal ring removal tool,"['The ornamental design for a vaginal ring removal tool, as shown and described.']"
429,2022-09-20,Staple cartridge,"['The ornamental design for a staple cartridge, as shown and described.']"
430,2022-09-21,Shaft attachable medical instrument,"['The ornamental design for a shaft attachable medical instrument, as shown and described.']"
431,2022-09-21,Instrument shank with square drive,"['We claim the ornamental design for an instrument shank with square drive, as shown and described.']"
432,2022-09-21,Laser lancing device,"['The ornamental design for a laser lancing device, as shown and described.']"
433,2022-09-21,Tissue cleaner,"['The ornamental design for a tissue cleaner, as shown and described.']"
434,2022-09-21,Holder for fixing dental block,"['The ornamental design for a holder for fixing dental block, as shown and described.']"
435,2022-09-21,Storage of implant,"['The ornamental design for a storage of implant, as shown and described.']"
436,2022-09-21,Tabletop pet MRI head scanner,"['The ornamental design for a tabletop pet MRI head scanner, as shown and described.']"
437,2022-09-21,Pair of left and right brachytherapy ovoids,"['The ornamental design for a pair of left and right brachytherapy ovoids, as shown and described.']"
438,2022-09-21,Hearing aid,"['The ornamental design for a hearing aid, as shown and described.']"
439,2022-09-21,Dental instrument,"['The ornamental design for a dental instrument, as shown and described.']"
440,2022-09-20,Teeth whitening light,"['The ornamental design for a teeth whitening light, as shown and described.']"
441,2022-09-20,Dental posterior matrix,"['The ornamental design for a dental posterior matrix, as shown and described.']"
442,2022-09-21,Patient transfer mat,"['The ornamental design for a patient transfer mat, as shown and described.']"
443,2022-09-21,Armrest for medical examination table,"['The ornamental design for an armrest for medical examination table, as shown and described.']"
444,2022-09-21,Wheelchair nursing pad,"['The ornamental design for a wheelchair nursing pad, as shown and described.']"
445,2022-09-20,Compression apparatus,"['The ornamental design for a compression apparatus, as shown and described.']"
446,2022-09-21,Dumbbell thigh pad,"['I claim the ornamental design for a dumbbell thigh pad, as shown and described.']"
447,2022-09-20,Postoperative abdominal fat compression shaping plate,"['The ornamental design for a postoperative abdominal fat compression shaping plate, as shown and described.']"
448,2022-09-20,Smart glove for rehabilitation,"['The ornamental design for a smart glove for rehabilitation, as shown and described.']"
449,2022-09-21,Portable cervical traction device,"['The ornamental design for a portable cervical traction device, as shown and described.']"
450,2022-09-21,Pacifier,"['The ornamental design for a pacifier, as shown and described.']"
451,2022-09-21,Teat for feeding bottles,"['The ornamental design for a teat for feeding bottles, as shown and described.']"
452,2022-09-21,Baby bottle tether,"['The ornamental design for a baby bottle tether, as shown and described.']"
453,2022-09-21,Massage apparatus,"['The ornamental design for a massage apparatus, as shown and described.']"
454,2022-09-21,Ice massage tool,"['The ornamental design for an ice massage tool, as shown and described.']"
455,2022-09-20,Head covering for use as a repetitive transcranial magnetic stimulation device,"['The ornamental design for a head covering for use as a repetitive transcranial magnetic stimulation device, as shown and described.']"
456,2022-09-21,Heat pack,"['The ornamental design for a heat pack, as shown and described.']"
457,2022-09-21,Hat with internal light emitting elements,"['The ornamental design for a hat with internal light emitting elements, as shown and described.']"
458,2022-09-21,Massage half ball,"['The ornamental design for a massage half ball, as shown and described.']"
459,2022-09-21,Eye cream massage stick,"['An ornamental design for an eye cream massage stick, as shown and described.']"
460,2022-09-21,Massager,"['The ornamental design for a massager, as shown and described.']"
461,2022-09-21,Massage appliance,"['The ornamental design for a massage appliance, as shown and described.']"
462,2022-09-21,Apparatus for massage,"['The ornamental design for an apparatus for massage, as shown and described.']"
463,2022-09-20,Massage device,"['The ornamental design for a massage device, as shown and described.']"
464,2022-09-21,Accessory tray,"['The ornamental design of an accessory tray, as shown and described.']"
465,2022-09-21,Storage rack for sterile packaging,"['The ornamental design for a storage rack for sterile packaging, as shown and described.']"
466,2022-09-20,Passenger terminal interior,"['I claim the ornamental design for a passenger terminal interior, as shown and described.']"
467,2022-09-20,Enclosed building structure,"['The ornamental design for an enclosed building structure, as shown and described.']"
468,2022-09-21,Metal fence,"['The ornamental design for a metal fence, as shown and described.']"
469,2022-09-21,Door,"['The ornamental design for a door, as shown and described.']"
470,2022-09-21,Ladder,"['The ornamental design for a ladder, as shown and described.']"
471,2022-09-20,Hinge lock,"['The ornamental design for a hinge lock, as shown and described.']"
472,2022-09-20,Tile arrangement,"['The ornamental design for a tile arrangement, as shown and described.']"
473,2022-09-21,Polymer-based flooring,"['The ornamental design for a polymer-based flooring, as shown and described.']"
474,2022-09-20,Interlocking tile portion,"['The ornamental design for a interlocking tile portion, as shown as described.']"
475,2022-09-21,Manufactured stone slab,"['The ornamental design for a manufactured stone slab, as shown and described.']"
476,2022-09-21,Wall covering,"['The ornamental design for a wall covering, as shown and described.']"
477,2022-09-21,Industrial lighting module,"['The ornamental design for an industrial lighting module, as shown and described.']"
478,2022-09-21,Curtain light,"['The ornamental design for a curtain light, as shown and described.']"
479,2022-09-21,Light,"['The ornamental design for a light, as shown and described.']"
480,2022-09-21,Vehicle headlight,"['The ornamental design for a vehicle headlight, as shown and described.']"
481,2022-09-21,Vehicle light,"['The ornamental design for a vehicle light, as shown and described.']"
482,2022-09-21,Vehicle front headlamp,"['The ornamental design for a vehicle front headlamp, as shown and described.']"
483,2022-09-21,Vehicle rear taillamp,"['The ornamental design for a vehicle rear taillamp, as shown and described.']"
484,2022-09-21,Vehicle rear taillamp signature lights,"['The ornamental design for vehicle rear taillamp signature lights, as shown and described.']"
485,2022-09-21,Headlight for a vehicle,"['The ornamental design for a headlight for a vehicle, as shown and described.']"
486,2022-09-21,Taillight for a vehicle,"['The ornamental design for a taillight for a vehicle, as shown and described.']"
487,2022-09-21,Headlight for vehicle,"['The ornamental design for a headlight for vehicle, as shown and described.']"
488,2022-09-21,Rear combination lamp for vehicle,"['The ornamental design for a rear combination lamp for vehicle, as shown and described.']"
489,2022-09-21,Rear combination lamp for an automobile,"['The ornamental design for a rear combination lamp for an automobile, as shown and described.']"
490,2022-09-21,Light bar for mounting to a vehicle,"['The ornamental design of a light bar for mounting to a vehicle, as shown and described.']"
491,2022-09-21,Night light,"['The ornamental design for a night light, as shown and described.']"
492,2022-09-21,Plant growth lamp,"['The ornamental design for a plant growth lamp, as shown and described.']"
493,2022-09-21,Solar landscape spotlight,"['The ornamental design for a solar landscape spotlight, as shown and described.']"
494,2022-09-20,Solar street lamp,"['The ornamental design for a solar street lamp, as shown and described.']"
495,2022-09-21,Lighting fixture,"['The ornamental design for a “lighting fixture”, as shown and described.']"
496,2022-09-21,Outdoor light,"['The ornamental design for a outdoor light, as shown and described.']"
497,2022-09-21,Light fixture,"['We claim the ornamental design for a light fixture, as shown and described.']"
498,2022-09-21,Solar fence light,"['The ornamental design for a solar fence light, as shown and described.']"
499,2022-09-21,Ceiling mounted luminaire for lighting,"['The ornamental design for a ceiling mounted luminaire for lighting, as shown and described.']"
500,2022-09-21,Lamp,"['The ornamental design for a lamp, as shown and described.']"
501,2022-09-21,Projection lamp,"['The ornamental design for a projection lamp, as shown and described.']"
502,2022-09-20,Tree light,"['I claim the ornamental design for a tree light, as shown and described.']"
503,2022-09-20,Lighting track adapter,"['The ornamental design for a lighting track adapter, as shown and described.']"
504,2022-09-21,Dual arc butane lighter,"['The ornamental design for a dual arc butane lighter, as shown and described.']"
505,2022-09-20,LED atomizer,"['The ornamental design for a LED atomizer, as shown and described.']"
506,2022-09-21,Atomizer,"['The ornamental design for an atomizer, as shown and described.']"
507,2022-09-21,Travel cigar humidor case,"['The ornamental design for a travel cigar humidor case, as shown and described.']"
508,2022-09-21,Hair dryer,"['The ornamental design for a hair dryer, as shown and described.']"
509,2022-09-21,Curling iron,"['The ornamental design for a curling iron, as shown and described.']"
510,2022-09-21,Hair curler,"['The ornamental design for a hair curler, as shown and described.']"
511,2022-09-21,Paraffin wax warmer,"['The ornamental design for a paraffin wax warmer, as shown and described.']"
512,2022-09-20,Fingernail gel curing lamp,"['The ornamental design for a fingernail gel curing lamp, as shown and described.']"
513,2022-09-21,Foot grinder,"['The ornamental design for a foot grinder, as shown and described.']"
514,2022-09-20,Foot scrubber,"['The ornamental design for a foot scrubber, as shown and described.']"
515,2022-09-21,Dental flosser,"['The ornamental design for a dental flosser, as shown and described.']"
516,2022-09-21,Cosmetics box,"['The ornamental design for a cosmetics box, as shown and described.']"
517,2022-09-21,Eyelash box,"['The ornamental design for an eyelash box, as shown and described.']"
518,2022-09-21,Surfing helmet,"['The ornamental design for a surfing helmet, as shown and described.']"
519,2022-09-21,Helmet,"['I claim the ornamental design for a helmet, as shown and described.']"
520,2022-09-20,Face mask,"['The ornamental design for a face mask, as shown and described.']"
521,2022-09-21,Bump cap,"['The ornamental design for a bump cap, as shown and described.']"
522,2022-09-21,Nose and mouth shield for football helmet facemask,"['We claim the ornamental design for a nose & mouth shield for football helmet facemask, as shown and described.']"
523,2022-09-21,Nose and mouth shield for hockey helmet facemask,"['We claim the ornamental design for a nose and mouth shield for hockey helmet facemask, as shown and described.']"
524,2022-09-21,Nose and mouth shield for lacrosse helmet facemask,"['We claim the ornamental design for a nose & mouth shield for lacrosse helmet facemask, as shown and described.']"
525,2022-09-21,Animal shelter,"['The ornamental design for an animal shelter, as shown and described.']"
526,2022-09-20,Piano pet carrier,"['I claim the ornamental design for the piano pet carrier, as shown and described in the drawings.']"
527,2022-09-21,Pet enclosure apparatus,"['The ornamental design of a pet enclosure apparatus, as shown and described herein.']"
528,2022-09-21,Pet recovery vest,"['The ornamental design for a pet recovery vest, as shown and described.']"
529,2022-09-21,Footwear for a pet,"['The ornamental design for a footwear for a pet, as shown and described.']"
530,2022-09-20,Animal collar,"['The ornamental design for the animal collar, as shown and described.']"
531,2022-09-21,Dog harness,"['The ornamental design for a dog harness, as shown and described.']"
532,2022-09-22,Harness for pets,"['The ornamental design for a harness for pets, as shown and described.']"
533,2022-09-21,Retractable pet leash,"['The ornamental design for a retractable pet leash, as shown and described.']"
534,2022-09-21,Dog training receiver,"['The ornamental design for a dog training receiver, as shown and described.']"
535,2022-09-21,Electronic washing and drying machine for laundry purpose,"['The ornamental design for an electronic washing and drying machine for laundry purpose, as shown and described.']"
536,2022-09-21,Pipe cleaning machine,"['The ornamental design for a pipe cleaning machine, as shown and described.']"
537,2022-09-21,Handheld steam appliance with refilling cradle,"['The ornamental design for a handheld steam appliance with refilling cradle, as shown and described.']"
538,2022-09-21,Vacuum cleaner,"['The ornamental design for a vacuum cleaner, as shown and described.']"
539,2022-09-21,Industrial vacuum cleaner,"['The ornamental design for an industrial vacuum cleaner, as shown and described.']"
540,2022-09-21,Dog's paw cleaner,"[""The ornamental design for a dog's paw cleaner, as shown and described.""]"
541,2022-09-21,Spin scrubber,"['The ornamental design for a spin scrubber, as shown and described.']"
542,2022-09-21,Paint can holder,"['The ornamental design for a paint can holder, as shown and described.']"
543,2022-09-20,Drainer for drying wet hems,"['The ornamental design for a drainer for drying wet items, as shown and described.']"
544,2022-09-21,Composter,"['The ornamental design for a composter, as shown and described.']"
545,2022-09-21,Rack,"['The ornamental design for a rack, as shown and described.']"
546,2022-09-21,Cart,"['The ornamental design for a cart, as shown and described.']"
547,2022-09-20,Apple tree named ‘Canopy’,['1. A new and distinct apple tree named ‘Canopy’ substantially as described and illustrated herein.']
548,2022-09-20,Strawberry plant named ‘Ashley Jay’,['1. A new and distinct strawberry plant named ‘Ashley Jay’ as described and illustrated by the characterizations set forth above.']
549,2022-09-20,,['1. A new and distinct ']
550,2022-09-20,x ,['1. A new and distinct ']
551,2022-09-20,Alleviating oxidative stress disorders with PUFA derivatives,"['1. A method of treating a medical condition, comprising:\n', '2. The method of ', '3. The method of ', '4. The method of ', '5. The method of ', '6. The method of ', '7. The method of ', '8. The method of ', '9. The method of ', '10. The method of ', '11. The method of ', '12. The method of ', '13. The method of ', '14. A method of treating a medical condition, comprising\n', None, '15. The method of ', '16. The method of ', '17. The method of ', '18. The method of ', '19. The method of ', '20. The method of ', '21. The method of ', '22. The method of ', '23. A method of treating a medical condition, comprising selecting a subject having a neurodegenerative disease associated with lipid peroxidation or an ataxia; and administering an effective amount of an isotopically modified polyunsaturated fatty acid or ester thereof or mixture thereof to the subject; wherein the isotopically modified fatty acid or ester thereof is arachidonic acid or ester thereof; and wherein at least one bis-allylic position of said arachidonic acid or ester thereof is isotopically modified with at least one deuterium.', '24. A method of treating a medical condition, comprising selecting a subject having a neurodegenerative disease associated with lipid peroxidation or an ataxia; and administering an effective amount of an isotopically modified polyunsaturated fatty acid or ester thereof or mixture thereof to the subject; wherein the isotopically modified fatty acid or ester thereof is eicosapentaenoic acid or ester thereof; and wherein at least one bis-allylic position of said eicosapentaenoic acid or ester thereof is isotopically modified with at least one deuterium.', '25. A method of treating a medical condition, comprising selecting a subject having a neurodegenerative disease associated with lipid peroxidation or an ataxia; and administering an effective amount of an isotopically modified polyunsaturated fatty acid or ester thereof or mixture thereof to the subject; wherein the isotopically modified fatty acid or ester thereof is docosahexaenoic acid or ester thereof; and wherein at least one bis-allylic position of said docosahexaenoic acid or ester thereof is isotopically modified with at least one deuterium.', '26. A method of treating a medical condition, comprising selecting a subject having a neurodegenerative disease associated with lipid peroxidation or an ataxia; and administering an effective amount of an isotopically modified polyunsaturated fatty acid or ester thereof or mixture thereof to the subject; wherein the isotopically modified fatty acid or ester thereof is a mixture having two or more selected from the group consisting of linoleic acid or ester thereof, linolenic or ester thereof, arachidonic acid or ester thereof, eicosapentaenoic acid or ester thereof, and docosahexaenoic acid or ester thereof; and wherein at least one bis-allylic position of said polyunsaturated fatty acid or ester thereof is isotopically modified with at least one deuterium.', '27. The method of claim 23, 24, 25, or 26, wherein the at least one bis-allylic position is isotopically modified with two deuteriums.', '28. The method of claim 23, 24, 25, or 26, wherein the isotopically modified polyunsaturated fatty acid or ester thereof comprises at least one pro-bis-allylic position having one or two deuterium.']"
552,2022-09-20,Antibiotic delivery system and method for treating an infected synovial joint during re-implantation of an orthopedic prosthesis,"['1. An antibiotic delivery system comprising:\n', '2. An antibiotic delivery system as set forth in ', '3. An antibiotic delivery system as set forth in ', '4. A method of treating an infected joint during a two-stage re-implantation of an orthopedic implant, said method comprising the steps of: removing the infected implants mounted to the medullary canal of a bone; debriding the medullary canal; installing an intramedullary stem into the medullary canal where the stem includes an inlet, a plurality of outlets and a channel extending between the inlet and the plurality of outlets; said stem including a plurality of fins extending along a longitudinal axis of the stem and disposed in spaced angular relationship with respect to each other so as to define valleys that provide fluid flow spaces disposed between adjacent fins and a plurality of outlets disposed along said stem and between an outer surface of one of said plurality of adjacent fins in said valleys and in fluid communication with said fluid flow spaces providing a source of fluid-borne antibiotic to the inlet of the intramedullary stem so as to distribute the antibiotic into the medullary canal in a controlled fashion.', '5. A method of treating an infected orthopedic implant as set forth in ', '6. A method of treating an infected orthopedic implant as set forth in ', '7. A method of treating an infected orthopedic implant as set forth in ', '8. A method of treating infected tissue in a patient, the method comprising:\n', '9. The method of claim 8, wherein said removing the first fluid from the first medullary canal comprises using negative pressure in fluid communication with the first medullary canal to remove said first fluid.', '10. The method of claim 9, wherein a pump applies said negative pressure to remove said first fluid from said first medullary canal.', '11. The method of ', '12. The method of claim 8, further comprising removing at least one implant from the first medullary canal before said installing said first intramedullary stem.', '13. The method of claim 12, further comprising debriding the first medullary canal after removing said at least one implant from the first medullary canal and before said installing said first intramedullary stem.', '14. The method of claim 8, further comprising delivering a second fluid to the first medullary canal via said first inlet, said first channel and said first plurality of outlets after said removing the first fluid.', '15. The method of claim 14, wherein the second fluid comprises at least one of an antibiotic, a cleaning fluid, an irrigating fluid, a debriding fluid, and a fluid-borne agent for treating infected tissue.', '16. The method of claim 8, further comprising installing a second intramedullary stem into a second medullary canal of a second bone, the second intramedullary stem comprising a second channel therein and in fluid communication with a second plurality of outlets disposed along the second intramedullary stem.', '17. The method of claim 16, further comprising removing the first fluid from the second medullary canal.', '18. The method of claim 17, comprising irrigating the first medullary canal and the second medullary canal prior to removing the first fluid.', '19. The method of claim 17, further comprising delivering a second fluid to the second medullary canals via said second channel and said second plurality of outlets after removing the first fluid from said second medullary canal.', '20. The method of claim 19, wherein the second fluid comprises at least one of an antibiotic, a cleaning fluid, an irrigating fluid, a debriding fluid, and a fluid-borne agent for treating infected tissue.', '21. The method of claim 16, wherein the second intramedullary stem comprises a plurality of fins extending therealong and disposed in spaced angular relationship so as to define a plurality of valleys, each of said plurality of valleys disposed between an adjacent pair of fins and providing a fluid flow space between said adjacent pair of fins when said stem is installed in said first medullary canal, wherein each of the fluid flow spaces is in fluid communication with the second plurality of outlets.', '22. The method of claim 16, further comprising coupling the first intramedullary stem to the second intramedullary stem with a coupler.', '23. The method of claim 10, further comprising delivering a second fluid to the first medullary canal via said first inlet, said first channel and said first plurality of outlets after said removing the first fluid.', '24. The method of claim 23, wherein said pump for applying said negative pressure is also adapted to deliver said second fluid to said first medullary canal.']"
